video,frame,time_sec,time_hms,class_id,class_name,score,x1,y1,x2,y2,mask_area_px,img_w,img_h
7254,0,0.0,0:00:00,1,1,0.9963,608,13,824,134,24795,1000,600
7254,0,0.0,0:00:00,1,1,0.9958,44,364,207,558,30471,1000,600
7254,0,0.0,0:00:00,1,1,0.9957,383,364,522,557,26040,1000,600
7254,0,0.0,0:00:00,1,1,0.9736,729,356,831,557,20168,1000,600
7254,0,0.0,0:00:00,1,1,0.9646,585,331,698,570,26528,1000,600
7254,1,0.033,0:00:00,1,1,0.9965,608,12,824,134,24886,1000,600
7254,1,0.033,0:00:00,1,1,0.9959,382,373,526,565,27472,1000,600
7254,1,0.033,0:00:00,1,1,0.9944,43,373,214,560,31614,1000,600
7254,1,0.033,0:00:00,1,1,0.9765,718,365,832,562,22187,1000,600
7254,1,0.033,0:00:00,1,1,0.9751,586,339,697,575,26001,1000,600
7254,2,0.067,0:00:00,1,1,0.9963,611,8,822,128,23746,1000,600
7254,2,0.067,0:00:00,1,1,0.996,43,362,208,558,31074,1000,600
7254,2,0.067,0:00:00,1,1,0.9943,382,366,520,563,26557,1000,600
7254,2,0.067,0:00:00,1,1,0.9764,725,354,830,559,21253,1000,600
7254,2,0.067,0:00:00,1,1,0.9746,587,338,697,575,25853,1000,600
7254,3,0.1,0:00:00,1,1,0.9963,611,7,823,128,24004,1000,600
7254,3,0.1,0:00:00,1,1,0.9958,45,364,213,555,30900,1000,600
7254,3,0.1,0:00:00,1,1,0.9952,383,363,522,556,25948,1000,600
7254,3,0.1,0:00:00,1,1,0.9802,725,355,828,562,21352,1000,600
7254,3,0.1,0:00:00,1,1,0.9761,587,339,696,573,25136,1000,600
7254,4,0.133,0:00:00,1,1,0.9964,610,11,829,127,24134,1000,600
7254,4,0.133,0:00:00,1,1,0.9946,43,373,215,560,31584,1000,600
7254,4,0.133,0:00:00,1,1,0.9944,382,365,521,563,26839,1000,600
7254,4,0.133,0:00:00,1,1,0.9785,587,339,695,574,25327,1000,600
7254,4,0.133,0:00:00,1,1,0.9776,725,354,830,559,21292,1000,600
7254,5,0.167,0:00:00,1,1,0.9963,611,8,823,129,23874,1000,600
7254,5,0.167,0:00:00,1,1,0.9961,43,363,208,558,30645,1000,600
7254,5,0.167,0:00:00,1,1,0.9943,382,366,521,563,26741,1000,600
7254,5,0.167,0:00:00,1,1,0.9792,725,355,828,563,21247,1000,600
7254,5,0.167,0:00:00,1,1,0.9781,587,338,697,574,25882,1000,600
7254,6,0.2,0:00:00,1,1,0.9967,608,12,825,135,25167,1000,600
7254,6,0.2,0:00:00,1,1,0.9961,43,363,207,558,30429,1000,600
7254,6,0.2,0:00:00,1,1,0.9942,381,366,521,563,26612,1000,600
7254,6,0.2,0:00:00,1,1,0.9786,724,356,827,562,21011,1000,600
7254,6,0.2,0:00:00,1,1,0.9756,586,339,694,576,25245,1000,600
7254,7,0.234,0:00:00,1,1,0.9966,608,12,824,134,24991,1000,600
7254,7,0.234,0:00:00,1,1,0.9948,382,374,528,566,27777,1000,600
7254,7,0.234,0:00:00,1,1,0.9946,43,373,214,561,31447,1000,600
7254,7,0.234,0:00:00,1,1,0.9754,725,355,830,559,20925,1000,600
7254,7,0.234,0:00:00,1,1,0.9747,586,339,696,575,25908,1000,600
7254,8,0.267,0:00:00,1,1,0.9966,611,9,823,129,23897,1000,600
7254,8,0.267,0:00:00,1,1,0.9962,43,364,207,559,30460,1000,600
7254,8,0.267,0:00:00,1,1,0.9942,381,366,521,563,26819,1000,600
7254,8,0.267,0:00:00,1,1,0.9793,725,356,827,562,20910,1000,600
7254,8,0.267,0:00:00,1,1,0.9762,586,339,695,575,25731,1000,600
7254,9,0.3,0:00:00,1,1,0.9966,611,8,823,129,24047,1000,600
7254,9,0.3,0:00:00,1,1,0.995,49,372,207,560,29476,1000,600
7254,9,0.3,0:00:00,1,1,0.9944,382,365,521,563,26883,1000,600
7254,9,0.3,0:00:00,1,1,0.9784,726,356,828,562,20728,1000,600
7254,9,0.3,0:00:00,1,1,0.9747,587,339,698,575,26048,1000,600
7254,10,0.334,0:00:00,1,1,0.9964,611,8,823,129,23892,1000,600
7254,10,0.334,0:00:00,1,1,0.996,44,363,208,558,30512,1000,600
7254,10,0.334,0:00:00,1,1,0.9944,381,365,521,563,26979,1000,600
7254,10,0.334,0:00:00,1,1,0.9775,726,354,830,559,21017,1000,600
7254,10,0.334,0:00:00,1,1,0.974,587,339,698,575,25810,1000,600
7254,11,0.367,0:00:00,1,1,0.9967,44,365,212,554,30545,1000,600
7254,11,0.367,0:00:00,1,1,0.9966,611,8,822,128,23813,1000,600
7254,11,0.367,0:00:00,1,1,0.9943,381,365,521,563,26994,1000,600
7254,11,0.367,0:00:00,1,1,0.9775,726,355,830,559,20868,1000,600
7254,11,0.367,0:00:00,1,1,0.9739,587,339,697,575,25805,1000,600
7254,12,0.4,0:00:00,1,1,0.9963,607,13,825,134,24902,1000,600
7254,12,0.4,0:00:00,1,1,0.9961,44,364,208,558,30326,1000,600
7254,12,0.4,0:00:00,1,1,0.9942,381,366,521,563,26830,1000,600
7254,12,0.4,0:00:00,1,1,0.9784,586,339,694,576,25411,1000,600
7254,12,0.4,0:00:00,1,1,0.9779,726,354,830,559,21051,1000,600
7254,13,0.434,0:00:00,1,1,0.9965,611,8,823,129,23889,1000,600
7254,13,0.434,0:00:00,1,1,0.9953,45,366,211,557,30587,1000,600
7254,13,0.434,0:00:00,1,1,0.9939,381,366,521,563,26932,1000,600
7254,13,0.434,0:00:00,1,1,0.9771,725,355,831,558,21160,1000,600
7254,13,0.434,0:00:00,1,1,0.9765,586,339,693,576,25417,1000,600
7254,14,0.467,0:00:00,1,1,0.9963,611,8,823,129,24083,1000,600
7254,14,0.467,0:00:00,1,1,0.9953,45,366,211,557,30571,1000,600
7254,14,0.467,0:00:00,1,1,0.9942,381,364,520,562,26818,1000,600
7254,14,0.467,0:00:00,1,1,0.9776,726,354,831,559,21149,1000,600
7254,14,0.467,0:00:00,1,1,0.9751,586,339,694,575,25280,1000,600
7254,15,0.5,0:00:00,1,1,0.9962,611,8,823,129,24219,1000,600
7254,15,0.5,0:00:00,1,1,0.9956,45,366,212,557,30643,1000,600
7254,15,0.5,0:00:00,1,1,0.9942,382,366,521,563,26669,1000,600
7254,15,0.5,0:00:00,1,1,0.9771,726,354,831,559,21049,1000,600
7254,15,0.5,0:00:00,1,1,0.9768,587,338,695,576,25433,1000,600
7254,16,0.534,0:00:00,1,1,0.9962,43,364,208,558,30439,1000,600
7254,16,0.534,0:00:00,1,1,0.9961,607,12,826,135,25463,1000,600
7254,16,0.534,0:00:00,1,1,0.9944,381,373,528,566,27864,1000,600
7254,16,0.534,0:00:00,1,1,0.9764,726,354,831,559,21180,1000,600
7254,16,0.534,0:00:00,1,1,0.9755,586,339,695,576,25729,1000,600
7254,17,0.567,0:00:00,1,1,0.9964,43,364,208,558,30397,1000,600
7254,17,0.567,0:00:00,1,1,0.9961,608,12,825,135,25310,1000,600
7254,17,0.567,0:00:00,1,1,0.9944,381,374,528,566,27833,1000,600
7254,17,0.567,0:00:00,1,1,0.9758,726,354,830,559,20922,1000,600
7254,17,0.567,0:00:00,1,1,0.9734,587,340,694,576,25239,1000,600
7254,18,0.601,0:00:00,1,1,0.9963,43,363,207,558,30722,1000,600
7254,18,0.601,0:00:00,1,1,0.9962,611,8,823,129,23866,1000,600
7254,18,0.601,0:00:00,1,1,0.9943,380,366,521,563,26983,1000,600
